time,temperature,pressure,altitude,sealevel pressure
0.05446219444274902,0,0,0,0,0,0
0.0673370361328125,0,0,0,0,0,0
0.08459115028381348,0,0,0,0,0,0
0.08613300323486328,0,0,0,0,0,0
0.08725619316101074,0,0,0,0,0,0
0.08852815628051758,0,0,0,0,0,0
0.08991813659667969,0,0,0,0,0,0
0.09118509292602539,0,0,0,0,0,0
0.09258699417114258,0,0,0,0,0,0
0.09384512901306152,0,0,0,0,0,0
0.09528613090515137,0,0,0,0,0,0
0.09622907638549805,0,0,0,0,0,0
0.09737801551818848,0,0,0,0,0,0
0.09864616394042969,0,0,0,0,0,0
0.09978008270263672,0,0,0,0,0,0
0.10087108612060547,0,0,0,0,0,0
0.10198020935058594,0,0,0,0,0,0
0.10313105583190918,0,0,0,0,0,0
0.10450506210327148,0,0,0,0,0,0
0.10940408706665039,0,0,0,0,0,0
0.11266016960144043,0,0,0,0,0,0
0.11571407318115234,0,0,0,0,0,0
0.11670112609863281,0,0,0,0,0,0
0.11776900291442871,0,0,0,0,0,0
0.11862921714782715,0,0,0,0,0,0
0.11991119384765625,0,0,0,0,0,0
0.12150716781616211,0,0,0,0,0,0
0.12296915054321289,0,0,0,0,0,0
0.12455415725708008,0,0,0,0,0,0
0.12564516067504883,0,0,0,0,0,0
0.12691211700439453,0,0,0,0,0,0
0.12882399559020996,0,0,0,0,0,0
0.13032102584838867,0,0,0,0,0,0
0.13153314590454102,0,0,0,0,0,0
0.13264799118041992,0,0,0,0,0,0
0.13420319557189941,0,0,0,0,0,0
0.13528704643249512,0,0,0,0,0,0
0.1424551010131836,0,0,0,0,0,0
0.14551401138305664,0,0,0,0,0,0
0.14702105522155762,0,0,0,0,0,0
0.14870810508728027,0,0,0,0,0,0
0.15048503875732422,0,0,0,0,0,0
0.15168309211730957,0,0,0,0,0,0
0.15431809425354004,0,0,0,0,0,0
0.15585613250732422,0,0,0,0,0,0
0.15772414207458496,0,0,0,0,0,0
0.15954303741455078,0,0,0,0,0,0
0.1842491626739502,0,0,0,0,0,0
0.1914350986480713,26.9, 98560, 233.295785608, 98554.0
0.1935272216796875,26.9, 98560, 233.295785608, 98554.0
0.19517803192138672,26.9, 98560, 233.295785608, 98554.0
0.19671320915222168,26.9, 98560, 233.295785608, 98554.0
0.19895100593566895,26.9, 98560, 233.295785608, 98554.0
0.20099115371704102,26.9, 98560, 233.295785608, 98554.0
0.20540714263916016,26.9, 98560, 233.295785608, 98554.0
0.208420991897583,26.9, 98560, 233.295785608, 98554.0
0.21085500717163086,26.9, 98560, 233.295785608, 98554.0
0.21393918991088867,26.9, 98560, 233.295785608, 98554.0
0.2157900333404541,26.9, 98560, 233.295785608, 98554.0
0.21776413917541504,26.9, 98560, 233.295785608, 98554.0
0.2201831340789795,26.9, 98560, 233.295785608, 98554.0
0.22190117835998535,26.9, 98560, 233.295785608, 98554.0
0.22427010536193848,26.9, 98560, 233.295785608, 98554.0
0.2260730266571045,26.9, 98560, 233.295785608, 98554.0
0.2278001308441162,26.9, 98560, 233.295785608, 98554.0
0.23088717460632324,26.9, 98560, 233.295785608, 98554.0
0.23265504837036133,26.9, 98560, 233.295785608, 98554.0
0.23427700996398926,26.9, 98560, 233.295785608, 98554.0
0.23611116409301758,26.9, 98560, 233.295785608, 98554.0
0.23885512351989746,26.9, 98560, 233.295785608, 98554.0
0.24220705032348633,26.9, 98560, 233.295785608, 98554.0
0.24484920501708984,26.9, 98560, 233.295785608, 98554.0
0.2485661506652832,26.9, 98560, 233.295785608, 98554.0
0.2506420612335205,26.9, 98560, 233.295785608, 98554.0
0.25269508361816406,26.9, 98560, 233.295785608, 98554.0
0.2554161548614502,26.9, 98560, 233.295785608, 98554.0
0.25800299644470215,26.9, 98560, 233.295785608, 98554.0
0.26164913177490234,26.9, 98560, 233.295785608, 98554.0
0.26430511474609375,26.9, 98560, 233.295785608, 98554.0
0.26644206047058105,26.9, 98560, 233.295785608, 98554.0
0.2694211006164551,26.9, 98560, 233.295785608, 98554.0
0.27210402488708496,26.9, 98560, 233.295785608, 98554.0
0.27538204193115234,26.9, 98560, 233.295785608, 98554.0
0.2777130603790283,26.9, 98560, 233.295785608, 98554.0
0.28031015396118164,26.9, 98560, 233.295785608, 98554.0
0.2833681106567383,26.9, 98560, 233.295785608, 98554.0
0.28644418716430664,26.9, 98560, 228.954300017, 98584.0
0.28891420364379883,26.9, 98560, 228.954300017, 98584.0
0.2915201187133789,26.9, 98560, 228.954300017, 98584.0
0.2930262088775635,26.9, 98560, 228.954300017, 98584.0
0.294903039932251,26.9, 98560, 228.954300017, 98584.0
0.2966790199279785,26.9, 98560, 228.954300017, 98584.0
0.2994520664215088,26.9, 98560, 228.954300017, 98584.0
0.30355310440063477,26.9, 98560, 228.954300017, 98584.0
0.3054990768432617,26.9, 98560, 228.954300017, 98584.0
0.30790019035339355,26.9, 98560, 228.954300017, 98584.0
0.31171202659606934,26.9, 98560, 228.954300017, 98584.0
0.31334614753723145,26.9, 98560, 228.954300017, 98584.0
0.3183400630950928,26.9, 98560, 228.954300017, 98584.0
0.3199729919433594,26.9, 98560, 228.954300017, 98584.0
0.32158899307250977,26.9, 98560, 228.954300017, 98584.0
0.33036112785339355,26.9, 98560, 228.954300017, 98584.0
0.3316991329193115,26.9, 98560, 228.954300017, 98584.0
0.33256101608276367,26.9, 98560, 228.954300017, 98584.0
0.3336200714111328,26.9, 98560, 228.954300017, 98584.0
0.3346571922302246,26.9, 98560, 228.954300017, 98584.0
0.335604190826416,26.9, 98560, 228.954300017, 98584.0
